smiles,Heiser_inh_index,MERS_inh_index,Touret_inh_index,pert_ID
CC(N)(Cc1ccc(O)c(O)c1)C(=O)O,,53.975,0.13113301900000002,['BRD-K48578705']
CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1,,51.65,,['BRD-A14966924']
CC(N)C(O)c1ccccc1,,52.525,0.014978503,['BRD-K27853494']
C#CCN(C)Cc1ccccc1,0.18619139,57.175,0.162831858,['BRD-K83597974']
COc1ccccc1OCC(O)COC(N)=O,,53.575,0.098174779,['BRD-A31521121']
C/C=C/C(=O)N(CC)c1ccccc1C,0.08702079,50.26666667,,['BRD-K57179821']
CC(Oc1ccc(O)cc1)(P(=O)(O)O)P(=O)(O)O,,52.8375,,['BRD-K28470988']
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,0.166104218,53.9125,0.787693847,['BRD-K63630713']
COc1ccc(OC)c(C(O)C(C)N)c1,0.254472717,55.25833333,0.018179511,['BRD-A39189014']
COc1ccc(OC)c(C(O)CNC(=O)CN)c1,0.17386777399999995,50.875,0.117367257,['BRD-A79981887']
C=CCOc1ccccc1OCC(O)CNC(C)C,0.083630334,51.875,1.632168541,['BRD-A43671941']
C=CCc1ccc(O)c(OC)c1,0.229848665,54.25,,['BRD-K32977963']
C=CCc1ccccc1OCC(O)CNC(C)C,0.377331238,52.025,0.028864432,['BRD-A00993607']
COc1ccccc1OCC(O)CO,0.20083177,56.4375,0.073946247,['BRD-A90515964']
CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,0.228263204,53.775,0.235876829,['BRD-A60217728']
Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)C,,55.02,,['BRD-K84266862']
CS(=O)(=O)c1ccc(C(O)C(CF)NC(=O)C(Cl)Cl)cc1,0.150706725,55.9375,0.30889835600000004,['BRD-K11298197']
CC(=O)NS(=O)(=O)c1ccc(N)cc1,0.212606849,52.5,0.002361866,['BRD-K21520694']
Cc1cccc(C)c1NC(=O)C[N+](C)(C)C,,52.0375,,['BRD-K40782193']
CC(=O)Nc1ccc(CC(=O)O)cc1,0.269259808,56.7125,0.975477726,['BRD-K33483813']
